,ID,Name,Subsystem,Reaction,Readable reaction,Lower bound,Upper bound,Reversibility,Boundary,Genes,EC,KEGG,BiGG,VMH
2002,MAR01200,,Leukotriene metabolism,MAM01151c + MAM01371c + MAM01597c --> MAM01122c + MAM01334c + MAM02759c,"6,7-dihydro-5-oxo-12-epi-LTB4 [c] + ATP [c] + CoA [c] --> 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [c] + AMP [c] + PPi [c]",0.0,1000.0,False,False,ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142,6.2.1.3,,,RE3345C
2003,MAR01201,,Leukotriene metabolism,MAM01151m + MAM01371m + MAM01597m --> MAM01122m + MAM01334m + MAM02759m,"6,7-dihydro-5-oxo-12-epi-LTB4 [m] + ATP [m] + CoA [m] --> 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + AMP [m] + PPi [m]",0.0,1000.0,False,False,ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142,6.2.1.3,,,RE3345M
2004,MAR01202,,Leukotriene metabolism,MAM01151r + MAM01371r + MAM01597r --> MAM01122r + MAM01334r + MAM02759r,"6,7-dihydro-5-oxo-12-epi-LTB4 [r] + ATP [r] + CoA [r] --> 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [r] + AMP [r] + PPi [r]",0.0,1000.0,False,False,ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142,6.2.1.3,,,RE3345R
2005,MAR01203,,Leukotriene metabolism,MAM01151x + MAM01371x + MAM01597x --> MAM01122x + MAM01334x + MAM02759x,"6,7-dihydro-5-oxo-12-epi-LTB4 [x] + ATP [x] + CoA [x] --> 5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + AMP [x] + PPi [x]",0.0,1000.0,False,False,ENSG00000068366 or ENSG00000103740 or ENSG00000123983 or ENSG00000130377 or ENSG00000140284 or ENSG00000151726 or ENSG00000164398 or ENSG00000197142,6.2.1.3,,,RE3345X
2006,MAR01204,,Leukotriene metabolism,MAM01122m + MAM02630m --> MAM01121m + MAM02041m,"5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + O2 [m] --> 5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [m] + H2O2 [m]",0.0,1000.0,False,False,ENSG00000087008 or ENSG00000161533,1.3.3.6,,,RE3341M
2007,MAR01205,,Leukotriene metabolism,MAM01122x + MAM01802x --> MAM01121x + MAM01803x,"5-oxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + FAD [x] --> 5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [x] + FADH2 [x]",0.0,1000.0,False,False,ENSG00000087008 or ENSG00000161533,1.3.3.6,,,RE3341X
2008,MAR01206,,Leukotriene metabolism,MAM01121m + MAM02040m --> MAM00690m,"5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [m] + H2O [m] --> 3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [m]",0.0,1000.0,False,False,ENSG00000084754,4.2.1.17,,,RE3344M
2009,MAR01207,,Leukotriene metabolism,MAM01121x + MAM02040x --> MAM00690x,"5-oxo-12(S)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [x] + H2O [x] --> 3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [x]",0.0,1000.0,False,False,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,4.2.1.17,,,RE3344X
2010,MAR01208,,Leukotriene metabolism,MAM00690m + MAM02552m --> MAM00741m + MAM02039m + MAM02553m,"3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + NAD+ [m] --> 3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + H+ [m] + NADH [m]",0.0,1000.0,False,False,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,"1.1.1.35, 1.1.1.211",,,RE3340M
2011,MAR01209,,Leukotriene metabolism,MAM00690x + MAM02552x --> MAM00741x + MAM02039x + MAM02553x,"3(S),12(S)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + NAD+ [x] --> 3,5-dioxo-12(S)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + H+ [x] + NADH [x]",0.0,1000.0,False,False,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,"1.1.1.35, 1.1.1.211",,,RE3340X
