,ID,Name,Formula,Formula weight,Charge,Compartment,KEGG,BiGG,ChEBI,VMH,Reactions
39,MAM00016c,(13Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,c,C16531,,,CE5155,"MAR00551, MAR02321, MAR00546, MAR00552, MAR02324, MAR00547, MAR02705, MAR00553, MAR10036, MAR00548, MAR00549, MAR00515, MAR00545, MAR00319, MAR00320, MAR00550"
40,MAM00016m,(13Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,m,C16531,,,CE5155,"MAR03218, MAR02707"
41,MAM00016x,(13Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,x,C16531,,,CE5155,"MAR03333, MAR03334"
42,MAM00016r,(13Z)-docosenoyl-CoA,C43H72N7O17P3S,1084.054763,-4,r,C16531,,,CE5155,"MAR03612, MAR03606, MAR03654, MAR02854, MAR02974"
43,MAM00017c,(13Z)-eicosenoic acid,C20H37O2,309.50658,-1,c,,,CHEBI:134479,M00017,"MAR00288, MAR00687, MAR00690, MAR09741, MAR00290, MAR00289, MAR00291, MAR00685, MAR00688, MAR00691, MAR00686, MAR00689, MAR00692, MAR10033"
44,MAM00017l,(13Z)-eicosenoic acid,C20H37O2,309.50658,-1,l,,,CHEBI:134479,M00017,"MAR03560, MAR09741"
45,MAM00017r,(13Z)-eicosenoic acid,C20H37O2,309.50658,-1,r,,,CHEBI:134479,M00017,"MAR03706, MAR02968, MAR05257, MAR10034"
46,MAM00017e,(13Z)-eicosenoic acid,C20H37O2,309.50658,-1,e,,,CHEBI:134479,M00017,"MAR13043, MAR00288, MAR00016, MAR00012, MAR00015, MAR00291"
47,MAM00018c,(13Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,c,,,CHEBI:76563,M00018,"MAR00551, MAR02681, MAR00546, MAR00552, MAR02345, MAR00547, MAR00553, MAR10036, MAR00548, MAR00508, MAR00290, MAR00289, MAR00549, MAR03017, MAR00545, MAR00550"
48,MAM00018m,(13Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,m,,,CHEBI:76563,M00018,"MAR02683, MAR03240"
49,MAM00018x,(13Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,x,,,CHEBI:76563,M00018,"MAR03017, MAR03356"
50,MAM00018r,(13Z)-eicosenoyl-CoA,C41H68N7O17P3S,1056.001603,-4,r,,,CHEBI:76563,M00018,"MAR03647, MAR02844, MAR02968"
